"Emissions, Natural Gas and Petroleum Systems, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Natural gas - production,61.8132433334562,65.58733237884489,65.6157969462083,69.99075286624101,72.51149359107809,70.4264685244657,72.9928064425852,75.4272575136958,75.9501199075565,74.1949273736523,76.1570362737493,80.8237101683588,81.49141774669779,83.57495107067359,85.3313532117924,85.1740738361571,91.82247731634561,94.3603671914688,99.3032873282369,98.58216702325419,96.8274603402113,98.0756438678948,98.6349697094888,99.2597420333894,96.9828351282648,96.9365251409746,94.1350979477933,96.6160643258805,100.6151646108824,104.6539864441996
Petroleum systems - production,51.179228106823494,51.3679037395529,49.909664927754704,48.054060284235,47.990544564991396,48.075869600340404,48.452862262842004,48.051780418084896,47.116114267489,45.58938183334,44.9837663006465,44.5680892017201,44.4221395398168,44.6211826474113,44.438619877879106,42.0266072208422,44.1092625616939,43.986339674286405,44.518141171161595,43.777818517278696,44.2441630729875,46.081658219949304,49.286423810729204,56.32810589526619,62.1677859719828,64.5645706351132,54.360142333482194,57.549066789332905,66.44862235954311,77.87558112906551
Natural gas - transmission and storage,57.37368896294599,58.097424150640805,58.183471143492106,56.817203098533994,55.5617578212005,54.0502201665223,52.3934877756324,50.6523292049443,48.2471074409162,46.3170745195489,44.8022866059005,42.1768636245057,40.7196481106244,39.1078467433754,37.67466616781499,36.24583128924049,34.324098897665195,33.8654234725679,32.0823325292737,31.2095418925181,30.500001207134698,29.4895254969161,29.3996709509236,31.168146832860998,32.5643332084123,34.365987126308404,34.8240868174613,32.936550954489405,35.2980669957738,38.2033539063004
Natural gas - processing,49.668872213441304,48.4031903320715,48.4646870376707,47.3702283194633,46.6087332264642,42.7461080106746,38.854782388516796,37.765235180613,33.7291726664199,34.5614854081755,34.23763105219491,32.8123490055401,33.39705861651029,31.940140238126304,31.279535798996598,30.4078760710796,30.128142472986102,29.7351985067159,29.3364924975894,28.8821416448735,28.619639271388397,29.065044609476,29.065044609476,31.1753778814711,31.9907339183641,31.9907339183641,33.215643826630796,34.4868190380927,35.195581895061395,37.2278224949663
Natural gas - distribution,45.5390827148411,44.9265492661937,43.8266096572608,43.3767347055666,43.7089330831001,40.5410362342111,38.3588584634928,37.3850755964618,36.218304981409,34.1879379549917,32.7449441008621,31.486398604865098,30.0227113135413,27.8693671218331,26.8293371629141,25.5950292774386,24.3185156061849,20.480262023203803,19.461133916699698,17.838384918735702,16.1427564975905,14.896991287954101,14.8013179559323,14.6588636041297,14.507866576039499,14.360107633103901,14.3469907515739,14.2353244273993,14.1360920828967,14.013492447028
Abandoned oil and gas wells,6.7795135446962,6.8269795670455995,6.879113053686201,6.9225959242273,6.963585629375699,6.9956565626683,7.022167077305,7.0439883261486,7.065874293977299,7.0911959936710005,7.0963664997157005,7.1649850675505,7.173562842608001,7.1802462502659,7.1831721004163,7.1862875194983,7.191440912855,7.2027280582701,7.2132885400773,7.2309355581176,7.2472866130622,7.2622361509028,7.2800133715708,7.3073263685605,7.3291577192925,7.3613002211783005,7.4038409695904,7.2032935132143,7.2652662858415,6.5862949755266
Petroleum - crude oil refining,3.9734637278638,3.9415071808424003,3.9850113722211997,4.033752758077,4.1088238122289,4.1406529000085,4.2177356992841,4.3445462727596,4.4118617977458,4.3867490809998,4.4768189209782,4.482698282662099,4.429029826101,4.5348494059869005,4.598161736798301,4.5100533077427,4.5165659063758,4.4911901527359,4.3525193756335,4.2480912933899,4.5436191002849995,4.6225344827725,4.2007206661800005,4.37804554411,4.191443251352499,4.896218578665,4.8319386069825,4.5570122650775,4.5168997694224995,5.9294131364975
Petroleum systems - exploration,3.2818178694780005,3.2857836858155,3.3245241711519,3.2616386720168995,2.7917110160864,2.6062096303637,2.9078344259842,3.8300134693284997,2.6103004780669,1.7482378586805,2.672289914372,3.3886222681391,2.7377547234338,3.6136923764872,3.9660299362233,4.878148663951,6.0835703194776,6.3277928200616,7.7085299819886,4.3648342463656995,6.2682949585686,8.625178868951599,9.8656450076534,9.1714140760221,8.233862287576601,4.2475834519163,1.6792649279545,2.0567792017663,3.2898670112458004,2.3512613310951003
Natural gas - exploration,4.5919883551458,4.3596663535476,3.2563627317660004,4.1840876455822995,4.107489999214,3.7866345456621,5.0162260990185,6.453066946682,5.5574281019395,4.906833897140399,6.2544587326997,7.8440405695544,6.9215903045282,8.512967038499,9.7103936907754,11.951075448329801,12.697516120038099,12.7076211081596,13.2052865685341,7.3997115677292,7.1324003120256005,7.5154074438128005,3.7013564743788,4.0528825425425,1.7023647054541,1.3326049414003,0.8873110803167,1.6590719036703998,1.1822722183816,0.7607656442542999
Petroleum - crude oil transportation,0.1646920807777,0.1636468294899,0.1582719372299,0.15556334484450002,0.1527198655857,0.15008644826030001,0.1489386073209,0.14819285142740002,0.1494891667121,0.1391938895908,0.1306199448361,0.1297099309162,0.13023291193970002,0.13249426483989998,0.1310496861954,0.1287953728425,0.1265556966422,0.128508381481,0.1269600137801,0.1242063965205,0.1254811484085,0.1318369371377,0.15501042241580001,0.1803139999689,0.20651251161849998,0.2101025666496,0.2022375606951,0.1930803718739,0.2125903298323,0.2305068471689
Total,284.36559090946963,286.9599834840448,283.6035129784418,284.16661761878794,284.505792609325,273.518942623177,270.36569924198193,271.1014857801459,261.0557731022322,253.1230178097909,253.55621834595496,254.87746672381212,251.44514593580124,251.0877371574986,251.14231936980588,248.1037780071223,255.3181458102644,253.28543138895103,257.3079719229749,243.65783305878307,241.65110252166227,245.7660573657677,246.39017297874867,257.6802187783214,259.8768952783577,260.2657342136737,245.8865548224807,251.49306279079718,268.1604235588811,287.83247835610223
